timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
461479816,461479662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461582477,461582319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461680123,461679969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461780277,461780122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461877924,461877772,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461980581,461980429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462083238,462083086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462180884,462180735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462281039,462280889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462378692,462378538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462481361,462481196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462578996,462578845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462681664,462681502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462781808,462781656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462879453,462879305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
462982113,462981963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463079770,463079612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463179916,463179766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463280081,463279919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463380225,463380073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463482883,463482730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463580533,463580380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463680715,463680533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463778333,463778182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
